"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 20 18:18:15 CST 2020","Fri Nov 20 18:18:15 CST 2020","247","Suit","test_create_order","TestOpenApi","","","test_order_check_type[]",""
"passed","Fri Nov 20 18:18:12 CST 2020","Fri Nov 20 18:18:12 CST 2020","280","Suit","test_create_order","TestOpenApi","","","test_order_check_side[]",""
"passed","Fri Nov 20 18:12:16 CST 2020","Fri Nov 20 18:12:19 CST 2020","2399","Suit","test_clearing","TestOpenApiClearing","","","test_buy_limit",""
"passed","Fri Nov 20 18:16:19 CST 2020","Fri Nov 20 18:16:33 CST 2020","13933","Suit","test_clearing","TestOpenApiClearing","","","test_sell_market_part_filled_cancel",""
"passed","Fri Nov 20 18:12:21 CST 2020","Fri Nov 20 18:12:24 CST 2020","2593","Suit","test_clearing","TestOpenApiClearing","","","test_sell_limit",""
"passed","Fri Nov 20 18:13:09 CST 2020","Fri Nov 20 18:13:22 CST 2020","13063","Suit","test_clearing","TestOpenApiClearing","","","test_buy_limit_filled",""
"passed","Fri Nov 20 18:15:13 CST 2020","Fri Nov 20 18:15:16 CST 2020","3406","Suit","test_clearing","TestOpenApiClearing","","","test_buy_market",""
"passed","Fri Nov 20 18:16:36 CST 2020","Fri Nov 20 18:16:49 CST 2020","13478","Suit","test_clearing","TestOpenApiClearing","","","test_sell_market_filled",""
"passed","Fri Nov 20 18:17:45 CST 2020","Fri Nov 20 18:17:56 CST 2020","10551","Suit","test_clearing","TestOpenApiClearing","","","test_buy_limit_filled_less_market",""
"passed","Fri Nov 20 18:18:13 CST 2020","Fri Nov 20 18:18:14 CST 2020","281","Suit","test_create_order","TestOpenApi","","","test_order_check_type[0]",""
"passed","Fri Nov 20 18:16:01 CST 2020","Fri Nov 20 18:16:16 CST 2020","15629","Suit","test_clearing","TestOpenApiClearing","","","test_buy_market_risk_cancel",""
"passed","Fri Nov 20 18:18:16 CST 2020","Fri Nov 20 18:18:16 CST 2020","261","Suit","test_create_order","TestOpenApi","","","test_order_check_volume[zhang]",""
"passed","Fri Nov 20 18:13:24 CST 2020","Fri Nov 20 18:13:38 CST 2020","13278","Suit","test_clearing","TestOpenApiClearing","","","test_buy_limit_part_filled_cancel",""
"passed","Fri Nov 20 18:16:51 CST 2020","Fri Nov 20 18:17:06 CST 2020","14663","Suit","test_clearing","TestOpenApiClearing","","","test_buy_limit_part_filled_less_market",""
"passed","Fri Nov 20 18:12:14 CST 2020","Fri Nov 20 18:12:14 CST 2020","161","Suit","test_account_balance","TestOpenApi","","","test_fail",""
"passed","Fri Nov 20 18:12:32 CST 2020","Fri Nov 20 18:12:36 CST 2020","3727","Suit","test_clearing","TestOpenApiClearing","","","test_sell_limit_cancel",""
"passed","Fri Nov 20 18:18:17 CST 2020","Fri Nov 20 18:18:17 CST 2020","266","Suit","test_create_order","TestOpenApi","","","test_order_check_price[]",""
"passed","Fri Nov 20 18:18:13 CST 2020","Fri Nov 20 18:18:13 CST 2020","213","Suit","test_create_order","TestOpenApi","","","test_order_check_side[Buy]",""
"passed","Fri Nov 20 18:12:38 CST 2020","Fri Nov 20 18:12:52 CST 2020","13414","Suit","test_clearing","TestOpenApiClearing","","","test_buy_limit_part_filled",""
"passed","Fri Nov 20 18:15:26 CST 2020","Fri Nov 20 18:15:39 CST 2020","13222","Suit","test_clearing","TestOpenApiClearing","","","test_buy_market_part_filled_cancel",""
"passed","Fri Nov 20 18:18:15 CST 2020","Fri Nov 20 18:18:15 CST 2020","215","Suit","test_create_order","TestOpenApi","","","test_order_check_volume[0]",""
"passed","Fri Nov 20 18:14:41 CST 2020","Fri Nov 20 18:14:55 CST 2020","14117","Suit","test_clearing","TestOpenApiClearing","","","test_sell_limit_filled",""
"passed","Fri Nov 20 18:18:16 CST 2020","Fri Nov 20 18:18:16 CST 2020","295","Suit","test_create_order","TestOpenApi","","","test_order_check_price[0]",""
"passed","Fri Nov 20 18:18:14 CST 2020","Fri Nov 20 18:18:14 CST 2020","270","Suit","test_create_order","TestOpenApi","","","test_order_check_type[1.2]",""
"failed","Fri Nov 20 18:18:17 CST 2020","Fri Nov 20 18:18:18 CST 2020","268","Suit","test_create_order","TestOpenApi","","","test_order_check_volume_type[1-2]",""
